dataset,run,base_asr_old,base_asr_new,base_bdr_old,base_bdr_new,base_num_answerable_new,aligned_asr_old,aligned_asr_new,aligned_bdr_old,aligned_bdr_new,aligned_num_answerable_new,risk_diff_old,risk_diff_new
results,llama-3.1-8b_A1,0.001,0.001,0.004,0.004,996,0.0,0.1463,0.003,0.371,629,-0.001,0.1453
results,llama-3.1-8b_A1_instructional,0.5,0.0,0.6,0.0,20,0.0,0.1176,0.0,0.15,17,-0.5,0.1176
results,llama-3.1-8b_A2,0.0291,0.0291,0.004,0.004,996,0.001,0.2639,0.003,0.371,629,-0.0281,0.2348
results,llama-3.1-8b_A3,0.0412,0.0211,0.004,0.004,996,0.0481,0.1113,0.003,0.371,629,0.0069,0.0902
results,llama-3.1-8b_B1,0.001,0.001,0.005,0.005,995,0.001,0.0397,0.003,0.37,630,0.0,0.0387
results,llama-3.1-8b_B2,0.003,0.003,0.004,0.004,996,0.0191,0.1192,0.003,0.371,629,0.0161,0.1162
results,llama-3.1-8b_B3,0.003,0.003,0.004,0.004,996,0.007,0.3609,0.003,0.371,629,0.004,0.3579
results,llama-3.1-8b_C1,0.006,0.006,0.004,0.004,996,0.0,0.2019,0.003,0.371,629,-0.006,0.1959
results,llama-3.1-8b_C2,0.0221,0.0221,0.004,0.004,996,0.0,0.2941,0.003,0.371,629,-0.0221,0.272
results,llama-3.1-8b_C3,0.008,0.008,0.004,0.004,996,0.0,0.1685,0.003,0.371,629,-0.008,0.1605
results,llama-3.1-8b_D1,0.001,0.001,0.004,0.004,996,0.015,0.2226,0.003,0.371,629,0.014,0.2216
results,llama-3.1-8b_D2,0.004,0.004,0.004,0.004,996,0.0,0.5819,0.003,0.371,629,-0.004,0.5779
results,llama-3.1-8b_D3,0.008,0.011,0.004,0.004,996,0.0843,0.3291,0.003,0.371,629,0.0763,0.3181
results,llama-3.1-8b_D4,0.001,0.001,0.004,0.004,996,0.0,0.0366,0.003,0.371,629,-0.001,0.0356
results,llama-r1-8b_A1,0.0,0.1494,0.003,0.371,629,0.0,0.0679,0.0,0.131,869,0.0,-0.0815
results,llama-r1-8b_A2,0.0,0.2591,0.003,0.371,629,0.0,0.1013,0.0,0.131,869,0.0,-0.1578
results,llama-r1-8b_A3,0.0582,0.1399,0.003,0.371,629,0.0,0.0483,0.0,0.131,869,-0.0582,-0.0916
results,llama-r1-8b_B1,0.001,0.0412,0.003,0.369,631,0.0,0.0592,0.0,0.138,862,-0.001,0.018
results,llama-r1-8b_B2,0.014,0.1081,0.003,0.371,629,0.0,0.0667,0.0,0.131,869,-0.014,-0.0414
results,llama-r1-8b_B3,0.003,0.3672,0.003,0.371,629,0.0,0.1162,0.0,0.131,869,-0.003,-0.251
results,llama-r1-8b_C1,0.0,0.2003,0.003,0.371,629,0.0,0.1185,0.0,0.131,869,0.0,-0.0818
results,llama-r1-8b_C2,0.001,0.3196,0.003,0.368,632,0.0,0.1427,0.0,0.145,855,-0.001,-0.1769
results,llama-r1-8b_C3,0.0,0.1463,0.003,0.371,629,0.0,0.0909,0.0,0.131,869,0.0,-0.0554
results,llama-r1-8b_D1,0.013,0.2057,0.003,0.373,627,0.0,0.0658,0.0,0.134,866,-0.013,-0.1399
results,llama-r1-8b_D2,0.0,0.6175,0.003,0.37,630,0.0,0.2925,0.0,0.135,865,0.0,-0.325
results,llama-r1-8b_D3,0.0752,0.3106,0.003,0.369,631,0.0,0.1047,0.0,0.14,860,-0.0752,-0.2059
results,llama-r1-8b_D4,0.001,0.0381,0.003,0.37,630,0.0,0.0466,0.0,0.141,859,-0.001,0.0085
results,mistral-7b_A1,0.9286,0.0,0.16,0.0,50,0.0,0.0638,0.0,0.06,47,-0.9286,0.0638
results,mistral-7b_A1_instructional,0.9762,0.0,0.16,0.0,50,0.0,0.0851,0.0,0.06,47,-0.9762,0.0851
results,mistral-7b_A2,0.001,0.001,0.002,0.001,999,0.002,0.245,0.003,0.294,706,0.001,0.244
results,mistral-7b_A3,0.0501,0.044,0.002,0.001,999,0.0602,0.1615,0.003,0.294,706,0.0101,0.1175
results,mistral-7b_B1,0.004,0.002,0.002,0.001,999,0.001,0.034,0.003,0.294,706,-0.003,0.032
results,mistral-7b_B2,0.005,0.004,0.002,0.001,999,0.003,0.0921,0.003,0.294,706,-0.002,0.0881
results,mistral-7b_B3,0.0,0.0,0.002,0.001,999,0.003,0.3527,0.003,0.294,706,0.003,0.3527
results,mistral-7b_C1,0.5952,0.0,0.16,0.0,50,0.0,0.3617,0.0,0.06,47,-0.5952,0.3617
results,mistral-7b_C2,0.001,0.001,0.002,0.001,999,0.003,0.2394,0.003,0.294,706,0.002,0.2384
results,mistral-7b_C3,0.001,0.001,0.001,0.001,999,0.003,0.1269,0.003,0.291,709,0.002,0.1259
results,mistral-7b_D1,0.0,0.0,0.003,0.002,998,0.002,0.1378,0.003,0.289,711,0.002,0.1378
results,mistral-7b_D2,0.001,0.002,0.002,0.001,999,0.0171,0.4334,0.003,0.294,706,0.0161,0.4314
results,mistral-7b_D3,0.001,0.012,0.002,0.001,999,0.001,0.245,0.003,0.294,706,0.0,0.233
results,mistral-7b_D4,0.0,0.0,0.002,0.001,999,0.001,0.0425,0.003,0.294,706,0.001,0.0425
results,qwen-2.5-7b_A1,0.0,0.0051,0.0,0.013,987,0.0722,0.1009,0.169,0.346,654,0.0722,0.0958
results,qwen-2.5-7b_A1_instructional,0.0227,0.0,0.12,0.0,50,0.0769,0.0938,0.22,0.36,32,0.0542,0.0938
results,qwen-2.5-7b_A2,0.0,0.0243,0.0,0.013,987,0.0842,0.2202,0.169,0.346,654,0.0842,0.1959
results,qwen-2.5-7b_A3,0.035,0.0111,0.0,0.013,987,0.0578,0.0749,0.169,0.346,654,0.0228,0.0638
results,qwen-2.5-7b_B1,0.0,0.0,0.0,0.013,987,0.0313,0.0413,0.169,0.346,654,0.0313,0.0413
results,qwen-2.5-7b_B2,0.0,0.002,0.0,0.013,987,0.0782,0.1101,0.169,0.346,654,0.0782,0.1081
results,qwen-2.5-7b_B3,0.0,0.0274,0.0,0.013,987,0.1853,0.3379,0.169,0.346,654,0.1853,0.3105
results,qwen-2.5-7b_C1,0.0,0.0162,0.0,0.012,988,0.1164,0.1893,0.167,0.345,655,0.1164,0.1731
results,qwen-2.5-7b_C2,0.0,0.0213,0.0,0.013,987,0.1252,0.211,0.169,0.346,654,0.1252,0.1897
results,qwen-2.5-7b_C3,0.0,0.0101,0.0,0.013,987,0.0794,0.1162,0.169,0.346,654,0.0794,0.1061
results,qwen-2.5-7b_D1,0.0,0.003,0.0,0.013,987,0.0445,0.0933,0.169,0.346,654,0.0445,0.0903
results,qwen-2.5-7b_D2,0.0,0.0223,0.0,0.013,987,0.2118,0.5245,0.169,0.346,654,0.2118,0.5022
results,qwen-2.5-7b_D3,0.0,0.0203,0.0,0.013,987,0.0698,0.3058,0.169,0.346,654,0.0698,0.2855
results,qwen-2.5-7b_D4,0.0,0.0041,0.0,0.013,987,0.012,0.0291,0.169,0.346,654,0.012,0.025
results_hotpotqa,llama-3.1-8b_B2,0.003,0.001,0.004,0.0,1000,0.0191,0.3194,0.003,0.809,191,0.0161,0.3184
results_hotpotqa,llama-3.1-8b_D1,0.001,0.0,0.004,0.0,1000,0.015,0.5426,0.003,0.812,188,0.014,0.5426
results_hotpotqa,llama-3.1-8b_D3,0.008,0.009,0.004,0.0,1000,0.0843,0.6915,0.003,0.812,188,0.0763,0.6825
results_hotpotqa,mistral-7b_D2,0.001,0.001,0.002,0.0,1000,0.0171,0.7289,0.003,0.727,273,0.0161,0.7279
results_hotpotqa,qwen-2.5-7b_A1,0.0,0.0249,0.0,0.036,964,0.0722,0.4028,0.169,0.789,211,0.0722,0.3779
results_hotpotqa,qwen-2.5-7b_A3,0.035,0.0311,0.0,0.034,966,0.0578,0.4095,0.169,0.79,210,0.0228,0.3784
results_hotpotqa,qwen-2.5-7b_B1,0.0,0.0083,0.0,0.036,964,0.0313,0.2714,0.169,0.79,210,0.0313,0.2631
results_hotpotqa,qwen-2.5-7b_B2,0.0,0.0135,0.0,0.036,964,0.0782,0.2871,0.169,0.791,209,0.0782,0.2736
results_hotpotqa,qwen-2.5-7b_B3,0.0,0.0766,0.0,0.034,966,0.1853,0.5762,0.169,0.79,210,0.1853,0.4996
results_hotpotqa,qwen-2.5-7b_C1,0.0,0.0197,0.0,0.034,966,0.1164,0.2986,0.167,0.789,211,0.1164,0.2789
results_hotpotqa,qwen-2.5-7b_C2,0.0,0.029,0.0,0.036,964,0.1252,0.3905,0.169,0.79,210,0.1252,0.3615
results_hotpotqa,qwen-2.5-7b_D2,0.0,0.085,0.0,0.035,965,0.2118,0.7692,0.169,0.792,208,0.2118,0.6842
