group,bin,n_runs,macro_risk_diff,macro_sd,pooled_risk_diff,aligned_clean_denial,pooled_answerable_aligned,uncond_attacked_denial_base,uncond_attacked_denial_aligned,uncond_gap,pooled_n_queries
NQ (excl. llama-r1),rank 0,37,0.1346,0.116,0.1343,0.2116,13769,0.0073,0.2826,0.2754,17464
NQ (excl. llama-r1),rank 1-2,37,0.2603,0.1778,0.2591,0.2603,5665,0.0119,0.4335,0.4216,7659
NQ (excl. llama-r1),rank 3-4,37,0.2557,0.1944,0.2544,0.3987,1802,0.025,0.5435,0.5185,2997
NQ (excl. llama-r1),absent,37,0.2648,0.1754,0.2645,0.6375,3219,0.0208,0.7002,0.6794,8880
NQ llama-r1 only,rank 0,13,-0.1021,0.0981,-0.102,0.0608,5763,0.3281,0.0919,-0.2361,6136
NQ llama-r1 only,rank 1-2,13,-0.1971,0.1367,-0.1978,0.0836,2466,0.5065,0.1498,-0.3567,2691
NQ llama-r1 only,rank 3-4,13,-0.1329,0.1621,-0.1333,0.1576,887,0.5973,0.2431,-0.3542,1053
NQ llama-r1 only,absent,13,-0.1234,0.125,-0.1237,0.316,2134,0.7221,0.3497,-0.3724,3120
HotpotQA,rank 0,12,0.4055,0.1775,0.4095,0.69,1964,0.0292,0.756,0.7268,6336
HotpotQA,rank 1-2,9,0.6017,0.2386,0.6024,0.7023,343,0.0252,0.8568,0.8316,1152
HotpotQA,rank 3-4,0,,,0.7819,0.7717,63,0.0435,0.9529,0.9094,276
HotpotQA,absent,1,0.4772,,0.5954,0.9648,149,0.0491,0.9625,0.9134,4236
